 @grishin памагитиии!	 помог
 а это теперь зачем? если при перерендере карта будет приходить в <code> ширины контейнера карты.	 <code> срабатывает с задержкой, и на секунду вылазит за границу
 кстати да, почему линт не заорал? исправлю	 ![image]<link>
 не, серьёзно, test чего?	 >про ff тут не принимается, я по дурной инициативе приребейзил соседний задачу, а отребейзить сложна(
 сам в шоке  оно запускается?	 типа, ну... я переместил  <code> ;^)поэтому
 предлагаю не разводить гусей, я завтра к вам в 12 приду и вы всей командой расскажете мне про логированние и политику партии	 тогда мы с тобой сядем завтра и поправим это
 тогда мы с тобой сядем завтра и поправим это	 в смысле, это, я поправил :   <code>  -- хотя последнее было уже не обязательноно что ты ещё хочешь я так и не понял
 в смысле, это, я поправил :   <code>  -- хотя последнее было уже не обязательноно что ты ещё хочешь я так и не понял	 я хочу точно прояснить, что от вас как разработчиков нужно, чтобы ира смогла увидеть в статистике плоды вашего труда. судя по всему, у вас нет чёткого виденья. вот я приду и мы вместе проясним
 я хочу точно прояснить, что от вас как разработчиков нужно, чтобы ира смогла увидеть в статистике плоды вашего труда. судя по всему, у вас нет чёткого виденья. вот я приду и мы вместе проясним	 суть была в том, что бы не сохранять это в пользователя вообще ни в каком виде, а тебе для статистки отдать данные логом
 она про тарифы , насколько я понял. и для яндекс промокода поэтому прокинули флаг из конфига.	 <code> был сделан как хелпер для рендера списка фич тариффов, но не для использования в местах где рендер какого-то блока идёт в зависимости от конкретного флага.её тут использовать не корректно.
 <code> был сделан как хелпер для рендера списка фич тариффов, но не для использования в местах где рендер какого-то блока идёт в зависимости от конкретного флага.её тут использовать не корректно.	 да-да это другие фичи, не те фичи, которые те😂
 вытащить создание инвойсов в api. то есть мы приходим в api, нам отдаются url'ы форм оплаты и мы их уже "где-то там" оплачиваем.	 йеп, это копипаста с роута оплаты тарифа в дашборде, но на то это и poc. вообще я поковырявшись в билинге склоняюсь к тому что прочистка билинга нам нужна больше tpl 😅
 это не ввод пользователем данных, а в целом попытка открыть в конвертере несуществующий сайт, поэтому можно считать некорректным адресом	 и тут явно нужен <code>
 и тут явно нужен <code>	 он там и есть)
 он там и есть)	 ![image]<link>тут нужно сделать <code> же пойдет
 🌚	 это больше похоже на бота или то, что кто-то целенаправленно открывает неправильную ссылку. с интерфейса не смогли повторить. поэтому решили с андреем, что это скорее 404, попытка открыть несуществующую страницу.
 это больше похоже на бота или то, что кто-то целенаправленно открывает неправильную ссылку. с интерфейса не смогли повторить. поэтому решили с андреем, что это скорее 404, попытка открыть несуществующую страницу.	 ой 😬 я ж это в задаче и отписал. там даже в большинстве случаев <code>
 ой 😬 я ж это в задаче и отписал. там даже в большинстве случаев <code>	 но не во всех, бывают и авторизованные пользователи, с которыми даже пытались связаться, там же в задаче описано
 но не во всех, бывают и авторизованные пользователи, с которыми даже пытались связаться, там же в задаче описано	 у нас есть warning лог где-то?
 да переписали рендер виджета немного когда customclasses делали еще.	 <code>
 вроде хотели в стабл сразу залить? @andrew_kuzmenko @kbubyakin	 ну так давай зальем
 точно. нужно будет ещё проверить все места где он используется, потому что есть подозрение что он некорректно отрабатывает	 c костей посмотрели, поправили еще пару мест
 а что за договорённость ставить пробелы в скобках? по дефолту <code> запрещается@andrew_kuzmenko	 <link>
 <link>	 если рассматривать данный код, то я к примеру считаю что выделение как минимум логического отрицания, как минимум привносит удобочетаемость, так как при отсутствии его экранирования пробелами легче данный символ пропустить при код ревью или других процессах, что может привести к неприятным ситуациям.
 если рассматривать данный код, то я к примеру считаю что выделение как минимум логического отрицания, как минимум привносит удобочетаемость, так как при отсутствии его экранирования пробелами легче данный символ пропустить при код ревью или других процессах, что может привести к неприятным ситуациям.	 ну, я считаю, что отделение отрицания от выражения, к которому оно применяется - не есть хорошо.<code>
 эти ченжи это мердж коммит из origin/stable	 авто ок
 и сделайте этому prettier, сложно читать такое	 переписал
 переписал	 добавил
 у вас же везде chai	 unit тесты уже переехали на jest
 unit тесты уже переехали на jest	 ок, в следующий раз, значит будут писать на jest
 постепенно вынесем lib/media сюда	 я понимаю, откуда <code> взялось и что оно означает?
 я понимаю, откуда <code> взялось и что оно означает?	 функционал оптимизации изображений.
 функционал оптимизации изображений.	 "функционал оптимизации изображений" != <code>
 "функционал оптимизации изображений" != <code>	 это название сложилось исторически. было перенесено из public/js/share/mediahelper . теперь вот в modules переезжает)
 это название сложилось исторически. было перенесено из public/js/share/mediahelper . теперь вот в modules переезжает)	 переименовал в mediaoptimization.
 @volgin @smatushenko @andrew_kuzmenko @zubov @glebazarov @grishin @kbubyakin	 @grishin пета, ты тоже забыл зайти
 <code>	 <code>
 я бы не опирался на дефолтное поведение браузеров. вроде как и минус два правила, а с другой стороны - уточнить че ты хочешь от браузера лучше. мне так спокойней живется если я буду уверен что оно знает что я хочу конкретно, чем убрать лишних пару правил. @volgin есть ли какая-то весомая мотивация удалить эти две строки?	 таки нет. оставляем как есть, потому что не критично :small_blue_diamond:
 @kbubyakin исправил твои дискусии, нужно ли точно такой функционал покрывать юнит тестами?	 @volgin @kbubyakin исправил имя конфига, что бы отражало истинную его сущность, если нет больше вопросов, то лайкайте
 @volgin @kbubyakin исправил имя конфига, что бы отражало истинную его сущность, если нет больше вопросов, то лайкайте	 @kbubyakin посмотри тесты и метод, сделал всё максимально прозрачно,чисто и независимо =)
 @kbubyakin посмотри тесты и метод, сделал всё максимально прозрачно,чисто и независимо =)	 теперь гораздо пизже👍
 теперь гораздо пизже👍	 @kbubyakin добавил отрицательный тест
 @kbubyakin написал тесты	 <code> оставил на будущее для более гибкого функционала
 <code> оставил на будущее для более гибкого функционала	 про *просто у нас в lib/h лежит куча всего, а если оно еще и от e будет зависить то эт ваще пиздец. давайте хотя бы новый код не сваливать в кучу.ну и параметр featureset уже ж вроде как не используется* - про это не совсем понял, куда мне его тогда вынести.
 про *просто у нас в lib/h лежит куча всего, а если оно еще и от e будет зависить то эт ваще пиздец. давайте хотя бы новый код не сваливать в кучу.ну и параметр featureset уже ж вроде как не используется* - про это не совсем понял, куда мне его тогда вынести.	 я имел ввиду сделать чистую ф-ию и в нее параметром передавить конфиг/набор из вне. что бы не создавать новые ф-и в <code>
 я имел ввиду сделать чистую ф-ию и в нее параметром передавить конфиг/набор из вне. что бы не создавать новые ф-и в <code>	 переписал на чистую фнукцию
 логику переписывать  и оптимизировать не буду, только подправлю форматирование кода	 fixed
 тут не совсем правильно я изначально сделал, этот хэлпер нужен только для рендера это	 fixed
 и такое нужно покрывать unit тестами. как раз там и будут выраинты написания конфига	 исправил, но юнит тесты не писал
 but we still don't know what to return from function in this case. i think we have to filter such photo objects before calling this function	 maybe yes, but let's just trust documentation and logic that photo every time has at least one size =)
 <code> is already a photo and according to api reference (<link>	 i think we should check it somewhere else but not in this function
 i think we should check it somewhere else but not in this function	 can suggest to filter such broken objects in the model method. every one who will use it won't be required to filter them
 can suggest to filter such broken objects in the model method. every one who will use it won't be required to filter them	 omg, you're right, sorry =) somehow i've been thought it's a collection of user photos, ordered by sizes. in this context, it seems everything okay in code for now.
 -____________________-	 я бы писал в один лог (юсинков), только с mark screenshotservice: а вообще как удобнее руслану @root #неявный_контракт)
 ну вообще бы найти именно в точке интеграции, где забыли передать в <code>. все равно ее в этот релиз не положат уже	 а это больше на "залепипить" похоже
 а это больше на "залепипить" похоже	 здесь можно посмотреть примерно где лежат эти точки. <link>
 в siteblank.js флага не должно быть.еще нужно проверять , что это не тпл.	 в самом <code> получаю этот флаг от сайта
 в самом <code> получаю этот флаг от сайта	 теперь проверяется в <code>
 теперь проверяется в <code>	 задачу нужно доделывать в бою обнаружена ошибка: ![image]<link>
 😰	 тут опять же временное, см jira
 почему? ты про то что factory клиента не вынесенно?	 там есть один путь при котором опции клиента переопределяются от инстанса драйвера. было в предыдущей версии концепта, пока убрал из-за проблем с тестированием, но скорей всего потом надо будет впиливать.
 это тест.. ну непонятно тогда(	 я ж сказал, смотрите в jira =) там лежит - вынести тестовую инфраструктуру. надо в ci добавить minio, пробросить настройки, а сам тест добавить mock-fs и перенести его в интеграционные тесты. тогда делать было некогда, но руками тестировать эт не наш путь)
 @grishin @kbubyakin @glebazarov посмотрите что есть, а то изменений уже дохрена.	 @amovsunov @zubov @volgin @smatushenko
 @amovsunov @smatushenko @andrew_kuzmenko i need your code review	 you need to rest
 для понятности. это контекст виджета, а не этой схемы.добавил поясняющих комментариев.	 не надо комменты писать для контекста :red_circle: . здесь  итак понятно, что это контекст виджета.
 ![image]<link>	 вы это серьёзно?-_-
 вы это серьёзно?-_-	 что именно? и давайте уже писать сразу по делу, а не "вы серьёзно?")
 что именно? и давайте уже писать сразу по делу, а не "вы серьёзно?")	 ок, давайте тогда, когда вы будете создавать мердж с повторяющимся кодом из другой ветки и оба эти мерджа направлять в стейбл, хотя бы в описании мерджа описать зачем это сделано.по факту у вас две ветки (10648) с одинаковым кодом и разницей в одном файле в одну строчку (если направить на ту ветку, то возникает конфликт), и обе ветки планируете в стейбл, возникает вопрос, зачем? почему не сделать одну ветку, задачу сгруппировать и катить одной веткой...
 ок, давайте тогда, когда вы будете создавать мердж с повторяющимся кодом из другой ветки и оба эти мерджа направлять в стейбл, хотя бы в описании мерджа описать зачем это сделано.по факту у вас две ветки (10648) с одинаковым кодом и разницей в одном файле в одну строчку (если направить на ту ветку, то возникает конфликт), и обе ветки планируете в стейбл, возникает вопрос, зачем? почему не сделать одну ветку, задачу сгруппировать и катить одной веткой...	 потому что это разные задачи, вторая должна проверяться поверх первой
 потому что это разные задачи, вторая должна проверяться поверх первой	 1. первая ветка в срочном порядке чинит баг в целом, чтоб просто заработало.2. ветка допиливает отсутствующий функционал.релизы долетают до stable с скоростью 1 в неделю. до этого момента естественно видно много лишнего в changes.
 1. первая ветка в срочном порядке чинит баг в целом, чтоб просто заработало.2. ветка допиливает отсутствующий функционал.релизы долетают до stable с скоростью 1 в неделю. до этого момента естественно видно много лишнего в changes.	 1. задача по первой ветке в <code> не помечена как срочный баг, у неё нормальный приоритет 2. так допилите его в первой ветке.
 1. задача по первой ветке в <code> не помечена как срочный баг, у неё нормальный приоритет 2. так допилите его в первой ветке.	 я не качу ветки в стейбл и не ответственный за релизы, мердж конфликты при сборке релиза решать вам, просто считаю что данный подход к реализации решения задач неправильный. если вы хотите так катить, ну ок=)
 я не качу ветки в стейбл и не ответственный за релизы, мердж конфликты при сборке релиза решать вам, просто считаю что данный подход к реализации решения задач неправильный. если вы хотите так катить, ну ок=)	 как мне увидеть актуальные изменения, которые нужно ревьюить?
 как мне увидеть актуальные изменения, которые нужно ревьюить?	 изначально это 2 задачи. в процессе выполнения выяснилось, что они связаны. выкатывать будем, скорее всего, в 1 релиз.
 изначально это 2 задачи. в процессе выполнения выяснилось, что они связаны. выкатывать будем, скорее всего, в 1 релиз.	 ну так смержите всё в одну и катите одну. закройте старые мр и задачу, в последней задаче напишите, что будет катиться в другом мр.
 ну так смержите всё в одну и катите одну. закройте старые мр и задачу, в последней задаче напишите, что будет катиться в другом мр.	 вы же сами себе делаете лишнюю работу, примерживая каждый раз изменения из двух разных задач. причём не только себе, но и другим: ревьюерам и тестировщикам.
 вы же сами себе делаете лишнюю работу, примерживая каждый раз изменения из двух разных задач. причём не только себе, но и другим: ревьюерам и тестировщикам.	 сделайте в описании новой задачи подпункты, что нужно исправить "качество изображения падает" и "не импортируется видео".
 сделайте в описании новой задачи подпункты, что нужно исправить "качество изображения падает" и "не импортируется видео".	 закрыл предыдущий мр, привязал задачу в jira
 так устроен фронтенд в блоге, здесь создаётся такая же структура	 ну ок(с)
 наверное, от букв осталось)	 исправил
 yep	 <code>
 @andrew_kuzmenko  на фронте уже темплейты юзаем разве?	 да, можно использовать. babel 6 знает что с ними делать.
 мда, с промисами конечно полный трэш вы тут устроили... я если честно хз даже как комментировать, так как прийдётся открывать дискуссию на каждую строчку. так как это конвертер я наверное просто пройду мимо оставив ревью на совести @craneandrey	 p.s. не забудьте указать в плане выкатки/тестирования/etc что эта задача содержит ukit-11293
 p.s. не забудьте указать в плане выкатки/тестирования/etc что эта задача содержит ukit-11293	 давай откроем, я не против. если есть вариант как сделать лучше, еще есть время.
 давай откроем, я не против. если есть вариант как сделать лучше, еще есть время.	 покатим эту задачу, когда ukit-11293 докатиться до stable. чтоб diff содержал в себе изменения только по video в постах блога.
 покатим эту задачу, когда ukit-11293 докатиться до stable. чтоб diff содержал в себе изменения только по video в постах блога.	 lgtm (c) :tanabata_tree:
 ну это уже дело вкуса ))) мне текущий вариант больше нравится)	 зарезолвил, хотя вкус и ни при чем. по спеке длина строки 70 символов. это не только экономит экраны, но и улучшает удобочитаемость. :octopus:
 данная функция используется во многих местах, придётся перетестить всё. оно того стоит?	 fixed
 нельзя, т.к. получится локальная область видимости, а id используется ниже	 исправил
 добавил в service/fb-import/lib/post_factory/common.js вызов safetyhtml	 ок. мы теперь пропускаем iframe. с фб нам  не прилетит никакой чужой iframe, который не явлется тем, который мы добавляем для видео.
 в старой верии в этот колбек передается один аргумент. в новой тут была бы ошибка. в <code>. @glebazarov что именно ты имеешь ввиду? мы тут не особо догоняем.	 методы объекта <code>. промиc резолвиться одним значеним. в данном случае аргументом. я может что-то упускаю и не вижу очевидного, прошу прощения за это, но все еще не понимаю в чем проблема. @glebazarov
 методы объекта <code>. промиc резолвиться одним значеним. в данном случае аргументом. я может что-то упускаю и не вижу очевидного, прошу прощения за это, но все еще не понимаю в чем проблема. @glebazarov	 окей, с женей не получилось порассуждать, давай с тобой. колбэк catch какую сигнатуру имеет? а cb в <code>?
 окей, с женей не получилось порассуждать, давай с тобой. колбэк catch какую сигнатуру имеет? а cb в <code>?	 если мы правильно поняли, ты имеешь ввиду, что <code> ошибку, которую потом этот итератор расценит как "truthy value". так?
 если мы правильно поняли, ты имеешь ввиду, что <code> ошибку, которую потом этот итератор расценит как "truthy value". так?	 ага
 ага	 ок, спасибо что указал на этот момент, исправим. пройдись по всему коду, у нас есть время поправить все, что тебе кажется неправильным. ок?
 ок, спасибо что указал на этот момент, исправим. пройдись по всему коду, у нас есть время поправить все, что тебе кажется неправильным. ок?	 исправил
 исправил	 не обещаю что успею, у меня тут своё adcombo 😅 ну а если в общем - то тут смешались в кучу промисы и колбэки, теперь ещё и async/await занесли. раз есть желание давай я отложу себе в бэклог задачу пройтись по этому mr и показать как можно это привести в порядок.
 не обещаю что успею, у меня тут своё adcombo 😅 ну а если в общем - то тут смешались в кучу промисы и колбэки, теперь ещё и async/await занесли. раз есть желание давай я отложу себе в бэклог задачу пройтись по этому mr и показать как можно это привести в порядок.	 хорошо, но желательно это сделать до выкатки, иначе пропадет даром
 не вижу смысла вылизывать этот код. никакой пользы от него все равно нет.	 ну тогда и смысла в ревью нет =(
 ну тогда и смысла в ревью нет =(	 вы серьезно думаете что от того, что именно этот кусок кода уедет в отдельную функцию - прям лучше станет все? мне не жалко, это минута. если да - я добавлю такое исправление.
 вы серьезно думаете что от того, что именно этот кусок кода уедет в отдельную функцию - прям лучше станет все? мне не жалко, это минута. если да - я добавлю такое исправление.	 ну, лучше бы он не дублировался. мы хотели бы понемногу уменьшать количество хаоса и дублирования кода в юките. маленькими шагами )) тем более это не требует много сил.
 ну, лучше бы он не дублировался. мы хотели бы понемногу уменьшать количество хаоса и дублирования кода в юките. маленькими шагами )) тем более это не требует много сил.	 согласен, сейчас сделаем.
 не мой кусок, леша писал, но на самом деле ничего не мешает, если на столько принципиально	 оно ж параллельно обрабатывается
 ну пойдёт не так - пойдёте у себя поправите) мы просто после a/b дропнем zeroone из модели пользователя, так что заранее не пытайтесь на него подвязаться, его там не будет какие бы вы аргументы не предоставили. а в остальном ничего не меняется)	 про zeroone я услышал. а про пойдёт не так - править будем вместе
 зачем резолвить без комментариев, если код не был исправлен?	 ![image]<link>
 ![image]<link>	 а он не работал без тернарного оператора?
 а он не работал без тернарного оператора?	 работал, но так же лучше читается, или нет?
 сюда бы еще сервисы типа компайлеры перенести актуальные, потому что мы правки в входных точках делаем	 я бы это отдельной задачей делал, или в рамках мержа template-stable >> stable
 я бы это отдельной задачей делал, или в рамках мержа template-stable >> stable	 @amovsunov глянь последние коммиты
 @amovsunov глянь последние коммиты	 собираюсь произвести контролируемый взрыв жиры 🧐
 собираюсь произвести контролируемый взрыв жиры 🧐	 @grishin можешь дизлайк убрать?
 ну и собсна везде посмотрите не должно во <code> класться сам элемент	 fixed
 можно, через рекурсию и parentnode=), но это тоже самое, если что, выше описывал полифил для него.	 переписал
 @zubov @amovsunov @smatushenko @grishin @kbubyakin @glebazarov	 lgtm (c) учитывая что оно еще и во фронте
 чуть выше можно определить <code> для соответствия язык -> валюта, тем самым при добавлении специфичной валюты для определённого языка не надо будет править здесь, а просто внести значение в перечисление	 про <code> обсудили. пока нет необходимости создавать подобное.
 что бы проще было выкатить	 да вот файлик этот не понадобится) мы удаляем его - так как переходим же на node-cron
 да вот файлик этот не понадобится) мы удаляем его - так как переходим же на node-cron	 так а шо зарезолвили, удалите раз не нужно
 так исторически сложилось.😂🌚 в этой итерации просто переносим создание флагом из легаси кода в модуль	 коммент перенесем
 коммент перенесем	 да я дуже не знаю какой комент еще оставить, и так понятно , но я добавил комент о месте использования <code>
 в биллинге нельзя поменять логику просто так. проще все переписать, а это долго и дорого. так и живём	 @kbubyakin @went @kopleman
 в этом файле все брейкпоинты кастомные, разбираться долго и нет особой необходимости	 ну, ок. но новые можно же с переменными писать? ниже 767 например есть.
 ну, ок. но новые можно же с переменными писать? ниже 767 например есть.	 767 заменил, а остальные просто рандомные не повторяющиеся числа, в упор не вижу смысла пихать их в переменные
 я бы не трогал, неизвестно где он может переопределяться и в каком порядке, можно сломать	 можно грепнуть, например.
 можно грепнуть, например.	 восстановил старый цвет
 и тут.. и во всех файлах, пусть будет в одном стиле	 ok
 аналогично	 ok
 чтобы сохранить стиль кода (почему то так сделано во всём визарде)	 ok
 <code>	 ок
 ок	 ок
 <code>	 ок
 ок	 ок
 или <code>	 да не, если иначе, будет же reference error т.к. <code>
 да не, если иначе, будет же reference error т.к. <code>	 там да, ниже кириллу ответил
 ну, прочитай называние функции, может понятно будет зачем :)	 добавил комментарий к ней
 ага, да, гляну	 посмотрел  набери у себя в гите:  <code>
 посмотрел  набери у себя в гите:  <code>	 в ощм, это я походу тогда ещё сам себя за хвост покусал  поправил
 прям "проблема" :)	 аналогично двум предыдущим
 какому мастеру ?  мастер dns серверу?  это вообще из другой задачи, мне нужно было, чтобы разрабатывать, т.к. у меня домен не прикреплялся, потому, что там проверки нет этой, и оно пыталось ходить в dns'ы, которых нет.  а "та задача" -- это вот: <link>	 да, там если переделывать, то в том mr и выпиливать <code> и проверять его вместо
 да, там если переделывать, то в том mr и выпиливать <code> и проверять его вместо	 витя, а расскажи пожалуйста, как может работать система доменов, если dns нет? -_-
 витя, а расскажи пожалуйста, как может работать система доменов, если dns нет? -_-	 просто писать в <code>  разве этого когда-то было не достаточно?  домены, это же не только ценный мех  есть такие персонажи -- разработчики  им иногда надо тестировать свой код в интерфейсе, а не только тестами  ну, проверять, что оно работает  так вот, у них может не быть dns сервера  т.к. у них может не быть dns сервера  потому, да нипочему, не нужен он им  а интерфейс нужен  и чтобы работало тоже нужно  и вообще, наличие dns сервера -- это фантастика
 просто писать в <code>  разве этого когда-то было не достаточно?  домены, это же не только ценный мех  есть такие персонажи -- разработчики  им иногда надо тестировать свой код в интерфейсе, а не только тестами  ну, проверять, что оно работает  так вот, у них может не быть dns сервера  т.к. у них может не быть dns сервера  потому, да нипочему, не нужен он им  а интерфейс нужен  и чтобы работало тоже нужно  и вообще, наличие dns сервера -- это фантастика	 нужен им dns, ты чего? у нас есть dev dns, давайте добавим авторизацию и откроем для всех желающих доступ через интернет с машин, ну а для локала/ремоута так и вообще вопросов нет. система доменов не может функционировать без dns.ну и тем более этого знания не должно быть в <code>
 нужен им dns, ты чего? у нас есть dev dns, давайте добавим авторизацию и откроем для всех желающих доступ через интернет с машин, ну а для локала/ремоута так и вообще вопросов нет. система доменов не может функционировать без dns.ну и тем более этого знания не должно быть в <code>	 ты точно уверен, что это к этой задаче относится?  то есть, вот, чтобы этот mr закрыть, надо точно сделать всё то, что ты здесь сейчас предположил, и иначе оно работать ну никак не может  и да, на докер-контейнерах ты тоже настроишь dns  ну, настраивайте чо, я тут причём
 @glebazarov как я могу исправить эту ошибку?![image]<link>	 это не ошибка, ошибка была выше, когда тесты упали =) а это просто репорт тестов не нашёлся, собсна, потому что тесты упали. сейчас вроде всё ок.а где это у тебя падало?
 это не ошибка, ошибка была выше, когда тесты упали =) а это просто репорт тестов не нашёлся, собсна, потому что тесты упали. сейчас вроде всё ок.а где это у тебя падало?	 тут переодически падает. ставлю retry и срабатывает.
 тут переодически падает. ставлю retry и срабатывает.	 а, так это npm i падает, там проблемы с доступом к s3 видать из-за ркн. щас займёмся.
 я считаю что передавать объект запроса будет дальновиднее в перспективе. т.к. в модельном методе можно будет иметь больше данных к выбору набора скопов.	 это же другой слой. модель не должна знать о транспорте. плюс у нас в req лежит помойка например <code> действительно лучше явно передать, что именно за скоуп
 это же другой слой. модель не должна знать о транспорте. плюс у нас в req лежит помойка например <code> действительно лучше явно передать, что именно за скоуп	 давайте такой вариант в метод <code> передается индентифиактор. сами наборы скопов зашиты в конфиг? идентификатор передается из роута.
 давайте такой вариант в метод <code> передается индентифиактор. сами наборы скопов зашиты в конфиг? идентификатор передается из роута.	 можно так, да, почему бы и нет.
 можно так, да, почему бы и нет.	 а кто у вас тут хоть главарь, кому писать когда переделаю?
 а кто у вас тут хоть главарь, кому писать когда переделаю?	 нотифаи приходят всем участникам обсуждения, можно через @ упомянуть
 да можно как угодно. хоть массив, хоть хеш. не суть.	 речь не о том. ты дублируешь 90% от объекта. так давай его вынесем выше с общей частью. а под условием добавим необходимый <code>.
 речь не о том. ты дублируешь 90% от объекта. так давай его вынесем выше с общей частью. а под условием добавим необходимый <code>.	 я наоборот хочу, чтоб это были отдельные списки, которые не пересекаются друг сдругом. не хочу я мутировать конфиг.
 я наоборот хочу, чтоб это были отдельные списки, которые не пересекаются друг сдругом. не хочу я мутировать конфиг.	 а какой тут профит в этом? если определить объект который после мутировать при выполнении некоторых условий, то данный код как легче читается, так и требует меньше изменений при добавлении элемента в коллекцию.
